statement,entity,year,line_item,label_key,metric,value_rm,source_sheet
Balance sheet,Company,2019,Other long–term liabilities,other long-term liabilities,,747.0,Balance Sheet
Balance sheet,Company,2019,"Property, aircraft and equipment","property, aircraft and equipment",ppe,2310.0,Balance Sheet
Balance sheet,Company,2019,Reserves,reserves,reserves,454.0,Balance Sheet
Balance sheet,Company,2019,Retirement benefit asset,retirement benefit asset,,11.0,Balance Sheet
Balance sheet,Company,2019,Retirement benefit obligation,retirement benefit obligation,,117.0,Balance Sheet
Balance sheet,Company,2019,Share capital,share capital,share_capital,13126.0,Balance Sheet
Balance sheet,Company,2019,Shareholder contribution,shareholder contribution,shareholder_contribution,15000.0,Balance Sheet
Balance sheet,Company,2019,Total assets,total assets,total_assets,12020.0,Balance Sheet
Balance sheet,Company,2019,total current assets,total current assets,current_assets,4919.0,Balance Sheet
Balance sheet,Company,2019,total current liabilities,total current liabilities,current_liabilities,23956.0,Balance Sheet
Balance sheet,Company,2019,total equity,total equity,total_equity,-14179.0,Balance Sheet
Balance sheet,Company,2019,Total equity and liabilities,total equity and liabilities,total_equity_and_liabilities,12020.0,Balance Sheet
Balance sheet,Company,2019,Total liabilities,total liabilities,total_liabilities,26199.0,Balance Sheet
Balance sheet,Company,2019,total non-current assets,total non-current assets,non_current_assets,7101.0,Balance Sheet
Balance sheet,Company,2019,total non-current liabilities,total non-current liabilities,non_current_liabilities,2243.0,Balance Sheet
Balance sheet,Company,2019,Trade and other payables,trade and other payables,payables,7047.0,Balance Sheet
Balance sheet,Company,2019,Trade and other receivables,trade and other receivables,receivables,2343.0,Balance Sheet
Balance sheet,Group,2010,Accumulated loss,accumulated loss,accumulated_loss,-14916.0,balance sheet 2010-2012
Balance sheet,Group,2010,Cash and cash equivalents,cash and cash equivalents,cash,3402.0,balance sheet 2010-2012
Balance sheet,Group,2010,Derivatives,current assets: derivatives,,76.0,balance sheet 2010-2012
Balance sheet,Group,2010,Deferred revenue on ticket sales,current liabilities: deferred revenue on ticket sales,deferred_revenue_current,3777.0,balance sheet 2010-2012
